Title,Year,Age,IMDb,Rotten Tomatoes
"Doggie Tails, Vol. 1: Lucky's First Sleep-Over",2003,all,5.2,none
Keith Lowell Jensen: Atheist Christmas,2014,none,7.7,none
Allan Quatermain and the Temple of Skulls,2008,18+,2.5,none
Danny and the Dinosaur... and More Friendly,1990,none,6.3,none
2 Bedroom 1 Bath,2014,18+,3.8,none
Born to Fight,1936,none,5.9,none
Battledogs,2013,16+,3.5,none
Desperate Cargo,1941,none,5.8,none
Brand Irish,2016,none,7,none
The World of Liberace,1972,none,7,none
Balls to the Wall,2011,18+,3.8,none
Hard Time: The Premonition,1999,16+,5.6,none
Demons,2014,none,4.1,none
Straight Shooter,1939,7+,5.8,none
Held For Ransom,1938,none,5.3,none
Prepper,2016,none,5,none
The Quarantine Hauntings,2015,none,2.6,none
When the World Breaks,2010,7+,6.8,none
House with a Turret,2012,none,6.8,none
The Lost Princess,2005,none,2.2,none
Maneater,2007,none,4.1,none
Del Shores: My Sordid Life,2011,none,7.6,none
The Plug,2016,none,7.1,none
Space Mutiny,1988,18+,2.1,none
Ninja Apocalypse,2014,none,3.1,none
Atomic Jihad: Ahmadinejad's Coming War for Islamic Revival and Obama's Politics,2010,none,4.4,none
The Clown and the Kid,1961,none,4.4,none
American Rap Stars,2002,18+,4.6,none
Key of Brown,2013,none,5,none
Mr. Christmas,2005,all,4.7,none
Age Of Kill,2015,18+,4.1,none
Men of the Plains,1936,none,5.2,none
Girls in Chains,1943,none,4.6,none
The Big Show-Off,1945,none,5.9,none
In My Pocket,2011,18+,4.9,none
The House of Secrets,1936,none,5,none
The Elf Who Didn't Believe,1997,all,3.4,none
Loon,2015,none,4,none
Alone in the Dark 2,2008,13+,2.7,none
Mysteries of Angels and Demons,2009,none,4.4,none
Wild Kratts: Creatures of the Deep Sea,2016,all,6.7,none
Tenshin,2013,none,6.7,none
Raising Flagg,2006,13+,5.4,23%
5 Shells,2012,none,4.8,none
First Winter,2012,none,4.8,none
Ambush at Tomahawk Gap,1953,none,5.9,none
Dehraadun Diary,2013,none,5.9,none
Redhead,1941,none,6,none
Where is Good?,2015,13+,4.4,none
Backstage at Budz House,2012,18+,4.5,none
Christmas in Hollywood,2014,none,4.9,none
Disneyland Resort: Behind The Scenes,2010,none,7.6,none
The High Schooler's Guide to College Parties,2015,18+,2.6,none
Guardian Angel,1994,18+,4.9,none
Brush with Danger,2014,none,3.3,20%
Tupac Shakur: Thug Immortal,1997,none,5.7,none
6-Headed Shark Attack,2018,16+,2.8,none
Grindstone Road,2008,none,4.5,none
Zis Boom Bah,1941,none,4.8,none
My Gun Is Quick,1957,none,6.2,none
Heart of Fear,2006,none,5.8,none
Independents' Day,2016,none,1.9,none
Slow Burn,2000,18+,4.9,none
Bones of Contention,1994,none,none,none
Kirpaan,2014,none,6,none
Gor,1987,7+,3.3,none
Homeless for the Holidays,2009,all,2.8,none
Day 6,2011,none,4.2,none
The Old Testament,1962,none,4.2,none
Spirit Stalkers,2012,none,4.6,none
Angel of Reckoning,2016,18+,2.5,none
Cup Cake,2010,none,6.1,none
Found in Time,2012,16+,4.8,none
Strange Fruit - The Beatles' Apple Records,2012,none,6.2,none
Jasper Redd: Jazz Talk,2014,none,5.8,none
Open Vacancy,2012,none,5.2,none
El Quetzal de Jade,2013,none,4.5,none
Ring Girls,2005,none,5.1,none
Super Shark,2011,none,2.5,none
American Bandits: Frank and Jesse James,2010,7+,4.6,none
Tupac Assassination: Battle For Compton,2017,none,5.4,none
The Dead Don't Scream,2008,none,3,none
Soul of a Banquet,2014,none,6.4,none
Let's Sing Again,1936,none,5.9,none
The Blood Harvest,2016,none,3,none
Sunday School Musical,2008,all,2.3,none
The Great Battle of the Volga,1963,none,6.7,none
Corpus Christi: Playing with Redemption,2012,none,2.7,none
Meteor Apocalypse,2010,none,3,none
Alien Convergence,2017,none,2.1,none
The Mystery of the Hooded Horsemen,1937,all,5,none
Thanksgiving,2014,none,4.7,none
GadgetGang in Outer Space,2017,all,3.9,none
Vampireland,2012,18+,1.6,none
Let the Balloon Go,1976,all,7,none
What Lies Ahead,2019,18+,3.3,none
Polder,2015,none,5.1,none
Magic Hour,2015,none,5.4,none
Like There's No Tomorrow,2011,none,6.3,none
Bush Pilot,1947,none,5.4,none
Bigfoot vs. D.B. Cooper,2014,none,1.4,none
Uyghurs: Prisoners of the Absurd,2014,none,7.4,none
Dead Frequency,2010,none,4.3,none
It's Us,2016,none,4.6,none
Captain Kidd and the Slave Girl,1954,none,5.2,none
King of the Sierras,1938,none,4.7,none
The Courageous Avenger,1935,none,5.5,none
365 Nights in Hollywood,1934,none,5.7,none
I'm That Kind of Woman,2012,none,5.2,none
Ninaitthathai Mudippavan,1975,none,6.9,none
The Sensitives,2017,16+,6.4,none
Earthling,2011,none,4.3,none
North of the City,2016,none,5.4,none
Raven,1996,18+,4.8,none
Counterplot,1959,none,4.8,none
Beverly Hills Madam,1986,13+,5.6,none
The Good War and Those Who Refused to Fight It,2000,none,6.7,none
The Big Chance,1933,none,4.7,none
The Touchstone,2012,none,6.3,none
The Buckskin Lady,1957,none,5.2,none
13/13/13,2013,18+,3.3,none
Strings of Passion,2014,none,6.8,none
Mr. Reckless,1948,none,5.4,none
Bill Coors: The Will to Live,2017,none,5.9,none
The Amityville Haunting,2011,none,2.6,none
Nightmares,1980,none,4.6,none
Ninjas vs. Vampires,2010,none,2.7,none
The Slashening,2014,none,4.3,none
Goobers!,2012,7+,3.8,none
"Incomplete: A Story of Love, Desire and Deception",2012,none,6.4,none
Bounty Tracker,1993,18+,5.1,none
Mission Stardust,1967,all,4.1,none
God Don't Make the Laws,2011,18+,4.2,none
2103: The Deadly Wake,1997,none,3.5,none
Sunset Cove,1978,18+,2.7,none
Red Balls,2012,none,3.1,none
Jump In: The Movie,2013,none,6.9,none
Ticket to Jerusalem,2003,none,4.2,none
Gurozuka,2005,none,5.1,none
The Four Dimensions of Greta,1972,18+,4.5,none
Operation Bottleneck,1961,none,4.5,none
Ek Se Badhkar Ek,2004,none,4.7,none
2033,2009,none,4.1,none
He's Such a Girl,2009,none,4.2,none
Cartel War,2012,18+,4,none
A Man Called Sarge,1990,13+,4.9,none
Of the Land,2015,none,6.6,none
Illegal Use of Joe Zopp,2008,none,7.2,none
Higher Ground,2005,none,6.8,none
Bricktown,2008,none,3.1,none
Armless,2010,none,5,none
Axe Giant - The Wrath of Paul Bunyan,2013,18+,3.5,none
Interwoven,2016,none,6.5,none
The Republic of Rick,2014,none,6.5,none
American Poltergeist,2015,18+,2.1,none
Ninja Fist of Fire,1972,none,5.3,none
It Lives in the Attic,2016,none,3.1,none
The Badger Game,2014,none,5.4,none
Krazzy Tabbar,2017,none,5.5,none
Kal Ki Awaz,1992,none,6.2,none
Voodoo Academy,2000,18+,3.5,none
The Gatekeeper,2008,none,4.2,none
Infernal Street,1973,none,5.3,none
Jamie Kennedy: Unwashed,2006,none,5,none
The Christmas Wife,1988,none,6.3,none
It Watches,2016,none,4.3,none
White Crack Bastard,2013,none,5.5,none
Desperate Cowboys,2018,none,4.4,none
Sharks' Treasure,1975,7+,4.7,none
Purgatory Flats,2003,18+,5.4,none
Unakkenna Venum Sollu,2015,none,5.8,none
Gladiator of Rome,1962,none,4.8,none
La case du siècle,2010,none,7.5,none
Never Forget,2008,18+,4.3,none
Hyper Sonic,2002,18+,2.4,none
Wandering Off,2018,none,5.5,none
Prodigal,2009,none,5.2,none
Guinevere,1994,none,5,none
Her Tango,2017,none,4.9,none
The Purifiers,2005,18+,3.3,none
The Invited,2017,18+,3.9,none
Raptor Ranch,2013,none,3,none
Prisoners of the Lost Universe,1983,none,3.8,none
Brian Gaar: Jokes I Wrote At Work,2015,none,5.7,none
FALLING TO PIECES,2015,none,7.3,none
Slaughter Creek,2012,none,3.1,none
Camel Spiders,2011,18+,2.4,none
When the Drum Is Beating,2011,none,7.2,none
Supervan,1977,7+,4,none
Don't Touch if You Ain't Prayed 2,2008,none,4.7,none
Here's Flash Casey,1938,none,5.7,none
Abomination: The Evilmaker II,2003,none,2.3,none
Down to the Sea,1936,none,6.1,none
Equal Impact,1995,none,5.8,none
The Great Mike,1944,none,5.4,none
Murder University,2012,none,4.2,none
Rogues' Gallery,1944,none,5,none
The 36 Deadly Styles,1980,none,5.3,none
Vasudev Balwant Phadke,2007,none,6.4,none
The Lackey,2012,none,4.8,none
Chandu on the Magic Island,1935,none,4.6,none
The Snake Strikes Back,1981,none,5.1,none
Young Fugitives,1938,none,6,none
A Sniper's War,2018,13+,2.2,none
Deadly Presence,2012,none,3.1,none
Seven Doors to Death,1944,none,4.6,none
Blood Ink,2018,none,4.6,none
Lord Put a Ring on It,2016,7+,7.7,none
Doorway to Suspicion,1954,none,4.4,none
Nightstick,1987,18+,4.7,none
Prison Shadows,1936,none,4.6,none
Mount Joy,2014,none,5,none
Brothers of the West,1937,none,5.9,none
Death Knows Your Name,2007,none,3.5,none
Hatalyan (The Hangman),2010,none,6.8,none
Community College,2009,none,4.8,none
ICE Agent,2013,none,2.6,none
Guns Don't Argue,1957,none,5.1,none
Blackenstein,1973,18+,3.3,none
Yul Brynner: The Man Who Was King,1995,none,7,none
Heroes of the Somme,2015,none,7.4,none
The Books of John,2007,none,4.9,none
A Doggone Christmas,2016,all,3.9,none
The Mysterious Stone Monuments of Markawasi Peru,2009,none,4.1,none
Buttcrack,1998,18+,3.5,none
Great God Gold,1935,none,5.9,none
My Life with Morrissey,2003,none,5.3,none
American Sasquatch Hunters: Bigfoot in America,2013,18+,3.1,none
Hard Romanticker,2011,none,6.3,none
Day of the Mummy,2014,none,2.5,none
The Inside Man,1984,none,4.1,none
Gallery of Horror,1967,none,3.2,none
Voyage to the Prehistoric Planet,1965,none,3.8,none
Interlaced,2017,none,3.2,none
He Who Finds a Wife,2009,13+,4.1,none
Roseanne Barr: Blonde and Bitchin',2006,none,4.7,none
Dark Forces: Shadow People,2018,none,3.9,none
Nirvana: In Utero,2006,none,7.7,none
Love in High Gear,1932,none,5.6,none
Don Seenu,2010,none,6,none
Trick or Treats,1982,18+,4,none
The Mystery Man,1935,none,5.5,none
Hearts of Humanity,1932,none,6,none
Hollywood Flies,2005,18+,4.5,none
In 500 Words or Less,2009,none,6.3,none
Scavengers,2013,none,2.9,none
Cult,2007,none,2.9,none
Dinner with the Alchemist,2016,none,6.1,none
Voodoo Island,1957,none,4.6,none
Phantom from Space,1953,none,4.2,none
Cause Of Death,2001,18+,4.4,none
Empire of the Sharks,2017,16+,2.8,none
Verona,2016,none,6.2,none
Rituals of Guilt,2018,none,4,none
Sing Cowboy Sing,1937,all,4.7,none
Marvin's Song,2011,none,6.9,none
Witness to a Kill,2001,18+,4.2,none
Hum Se Hai Zamana,1983,none,6.1,none
Bury,2014,none,3.3,none
The Old Corral,1936,none,5.9,none
Man of Her Dreams,2009,none,4.8,none
Blackmail,2017,none,3.7,none
Danger Street,1947,none,5.5,none
Sundown Saunders,1935,none,6,none
Armstrong,1998,18+,4,none
Heaven Is Waiting,2010,none,7.1,none
Evil Unleashed: The Seance Hour,2013,none,4.8,none
Mama Heidi,2004,none,5.6,none
New York Cop,1993,18+,4.2,none
Captured in Chinatown,1935,none,5.4,none
The Devil's Messenger,1961,none,4.8,none
The Shape of Things to Come,1979,7+,3.1,none
The Kid's Last Ride,1941,none,5.5,none
"Monsters, Marriage and Murder in Manchvegas",2009,none,5.4,none
Hirschen - Da machst was mit!,2015,none,4.8,none
Neengal Kettavai,1984,none,6.3,none
The Sad and Lonely Glow,2015,none,4.5,none
Lili's Apron,2004,none,5.2,none
Deadly Harvest,1977,18+,4.3,none
The Beast with a Million Eyes,1955,none,3.7,none
Mad Youth,1940,none,5.2,none
Mr Joe B. Carvalho,2014,none,3.7,none
The Freedom of Silence,2012,none,2.5,none
Footsteps,2006,none,4.1,none
Point of Terror,1971,18+,3.9,none
"No Escape, No Return",1993,18+,4.1,none
Rishtey,2002,none,4.6,none
Paralytic,2016,none,4.6,none
Last Train Home,1989,none,5.7,none
Texas to Bataan,1942,none,5.2,none
Dead in France,2012,18+,4.4,none
Brand of the Devil,1944,none,5.4,none
Man from Texas,1948,none,5.4,none
In Remembrance of Martin,1986,none,7.1,none
The Bell Witch Haunting,2013,none,3.6,none
Shadow of Afghanistan,2006,none,8.3,none
Guns And Guts,1974,none,5.2,none
Expedition Sasquatch,2018,none,5.7,none
Gays in Prison,2015,none,6.3,none
Silent Sam,2009,none,5.1,none
Darrell Hammond: Mayhem Explained,2018,none,5.7,none
Volumes of Blood: Horror Stories,2016,none,4.4,none
Easy Money,1936,none,6.2,none
Air Rage - Terror in 30.000 Feet,2001,18+,3.2,none
Snakeman,2005,18+,2.9,none
Fatty Drives the Bus,1999,none,4.3,none
Forty Years from Yesterday,2013,none,5.8,none
Me Familia,2017,none,5.4,none
Bloodwood Cannibals,2013,18+,3,none
Street Racer,2008,18+,3,none
Wanderers of the West,1941,none,5,none
Age of Tomorrow,2014,none,2.1,none
Happy Log,2016,none,4.7,none
Stag Hunt,2015,none,3.5,none
Finding Me: Truth,2011,none,5.9,none
Guddu,1995,none,4.2,none
Center of the Web,1992,18+,4.3,none
The Good Book,2014,none,5.9,none
Tycus,1998,18+,3.3,none
Jacklight,1995,none,6.6,none
Gifts from Strangers,2014,none,5,none
2BPerfectlyHonest,2004,18+,4.5,none
One Night in Vegas,2013,none,7.1,none
Don't Let the Riverbeast Get You!,2012,none,6.4,none
Childless,2015,18+,5.7,none
"Brother, Cry For Me",1970,all,3.8,none
Hunt Angels,2006,none,7.1,none
Gates of Hell 2: Dead Awakening,1988,none,3.4,none
No Contest,1995,18+,4.5,none
White Rush,2003,18+,4.5,none
Find A Way,2013,none,6.2,none
Nakhuda,1981,7+,6.5,none
Four Windows,2006,none,4.6,none
The Secret Cross,2014,none,4.8,none
The Dope Game,2002,none,5.9,none
Planet of the Sharks,2016,16+,2.6,none
Tares Among the Wheat: Sequel to A Lamp in the Dark,2012,none,7,none
Black Aura on an Angel,2004,none,6.9,none
Slam-Bang,2009,none,3.1,none
Jurassic City,2014,none,3.3,none
South Bronx Heroes,1985,18+,4.8,none
Cowboys in India,2009,7+,6.8,none
Death of a Snowman,1976,18+,4.7,none
Hit List,2011,13+,5,none
King Kelly of the USA,1934,none,4.7,none
Blonde for a Day,1946,none,5.2,none
Down On The Farm,2017,7+,4.9,none
Murda Capital,2015,none,5.7,none
The Arizona Kid,1939,none,6.4,none
Elder Island,2016,none,3.1,none
Dead Men Walk,1943,none,4.7,none
Raptor,2001,18+,2.7,none
Barbershop Blues,2004,none,5.5,none
Into The Lion's Den,2011,none,3.6,none
The Miracle Kid,1941,7+,6,none
On Each Side,2007,none,5.7,none
Egypt by Three,1953,none,5.1,none
Moving Targets,1999,13+,4.8,none
Blues,2008,none,6.3,none
The Path of the Wind,2009,none,6,none
Monte Carlo Nights,1934,none,5,none
Time Barbarians,1990,18+,3.1,none
Peel: The Peru Project,2006,none,7.4,none
The Law of 45's,1935,none,5,none
Ghost Parade,1931,none,4.3,none
Letter of Introduction,1938,none,6.3,none
Poe,2012,none,3,none
Sax Rohmer's Sumuru,2003,none,3.9,none
Sheriff of Tombstone,1941,none,6.1,none
The Quiet Arrangement,2009,none,6,none
Top of the World,1998,18+,4.7,none
Beyond Evil,1980,18+,3.9,none
Journey to the Center of Time,1967,none,3.8,none
Beyond the Call to Duty,2016,none,1.6,none
Reg'lar Fellers,1941,none,5.4,none
Wagah,2016,none,3.4,none
La Ricetta,2012,none,7.5,none
Trafalgar: The Greatest Battle in Naval History,2007,none,5.8,none
Snakehead Terror,2004,18+,3.8,none
Way of the Wicked,2014,18+,3.8,none
Chain Link,2008,none,6.4,none
Super Hero Party Clown,2012,none,6.7,none
"Abraxas, Guardian of the Universe",1990,13+,2.8,none
Little Paradise,2015,none,4.6,none
Chris Gets Money,2016,none,6,none
Sk8 Life,2006,none,5.7,none
The Feud of the Trail,1937,none,5.6,none
I'd Give My Life,1936,none,6.1,none
Zero Tolerance,2014,none,5.6,none
Where the Road Runs Out,2014,none,5.5,none
The Night of the Sharks,1988,13+,3.7,none
McCartney's Genes,2008,none,5.5,none
Sure Looks Good,2010,none,1.9,none
Blonde Comet,1941,none,5.1,none
The Perfect Summer,2013,none,5.3,none
Captain Calamity,1936,none,4.4,none
Pandorica,2016,none,3.7,none
Paramnesia,2013,none,4.5,none
Wan Chai Baby,2011,none,4.5,none
White Raven,2015,none,5.1,none
Circle of Fury,2010,none,3.7,none
It's Not Over,2014,none,6.1,none
Doggie Boogie - Get Your Grrr On!,2012,7+,3.2,none
She Demons,1958,none,4.6,none
Spiders 2: Breeding Ground,2001,18+,3,none
Riders of the Rockies,1937,7+,4.9,none
The Ganzfeld Haunting,2014,none,3.2,none
Forrest Shaw: Poor Decisions,2018,18+,5.7,none
When I Find the Ocean,2006,7+,4.5,none
Time Collectors: Return of the Giants,2012,none,4.4,none
Parwana,2003,none,2.1,none
Afro Ninja,2009,none,4.6,none
The Monkey Hustle,1976,7+,5.2,none
Anna's Eve,2004,18+,3.6,none
The Little Bird and the Leaf,2012,none,6.2,none
Textuality,2011,18+,3.9,none
Venus & Vegas,2010,18+,4.1,none
Gangsters of the Frontier,1944,none,5.4,none
Stress Position,2013,none,5.4,none
Flexing with Monty,2010,none,3.6,none
The Curse of the Komodo,2004,18+,2.8,none
Ishq Wala Love,2014,none,5.7,none
Closer to Home,2016,none,5.1,none
Tom Arnold: Past & Present Imperfectly,2018,none,4.7,none
I love my muslim,2018,none,7.5,none
Kiss the Bride,2011,13+,4.7,none
The Violent Kind,2008,none,5.4,none
Sleeping with the Fishes,2013,none,5.8,none
The Suspect,2006,none,5.1,none
The Wish Fish,2012,7+,3.2,none
Do You Like Broccoli Ice Cream? & More Kids Songs: Super Simple Songs,2015,none,6.1,none
A Town Called Bastard,1971,18+,4.9,none
Suhagan,1986,none,6.1,none
The Dalton Girls,1957,none,5.7,none
The Elite,2001,18+,3.6,none
Getting Gotti,1994,18+,4.9,none
They Meet Again,1941,none,5,none
Totem: The Return of the G'psgolox Pole,2003,none,6.7,none
Scary or Die,2012,18+,3.9,none
Who Wrote the New Testament?,2013,none,6.8,none
Murder Capital of the World,2012,none,4.5,none
The Livingston Gardener,2015,none,4.5,none
Robin Hood of the Pecos,1941,none,6.1,none
Dahleez,1986,none,5.4,none
Sea Racketeers,1937,none,5.4,none
Such Were Some Of You,2014,none,4.8,none
Picture of Light,1994,none,7.1,none
Tex Rides with the Boy Scouts,1937,none,5.1,none
Jeremy's Egg,2000,none,3.3,none
Deadman Apocalypse,2016,none,2.1,none
Steve Hofstetter: Ginger Kid,2015,none,7.1,none
True Love,2005,none,5.6,none
I Don't Want to Be Born,1975,18+,4.1,none
Summer City,1977,none,4.2,none
The Beast in the Cellar,1970,18+,4.7,none
Plague Town,2008,none,4.5,none
The Loves of Hercules,1960,none,3,none
Voodoo Rising,2016,none,2.5,none
Justice Served,2017,none,4.5,none
Paco,1976,all,4.9,none
We're in the Legion Now,1936,none,4.9,none
The Phantom Planet,1961,none,3.6,none
Zombie Undead,2010,none,2.3,none
You Will Kill,2015,none,3,none
Beyond the Rising Moon,1988,18+,4.9,none
Nightmare Wedding,2016,13+,4.2,none
Father Steps Out,1941,none,4,none
Between Something & Nothing,2008,none,4.9,none
The Sweeper,1996,18+,5,none
Scream of the Wolf,1974,none,5.5,none
Check Your Body at the Door,2012,none,8,none
Honor Thy Father,1973,none,5.2,none
The Linda Vista Project,2015,none,3.1,none
Convention Girl,1935,none,6,none
The Awakened,2009,none,4.5,none
The Frog Prince,2010,none,1.4,none
The Maze,2010,18+,3.9,none
Nobody,2007,none,4.5,none
Templar Nation,2013,13+,3.3,none
Motherland,2011,none,4.5,50%
Mary Proud,2006,none,4.8,none
The Pilgrimage Play,1949,none,5.2,none
Rogue Strike,2014,none,4.1,none
Sagaptham,2015,none,3.1,none
The Party Is Over,2015,none,4.6,none
Self Medicated: A Film About Art,2014,none,6.9,none
Flowerman,2014,none,4.1,none
Dope Game 2,2003,18+,3.6,none
Room to Breathe,2012,none,7.5,none
No Way Back,1990,none,6.1,none
Invisible Enemy,1938,none,5.8,none
Right to Believe,2014,none,4.9,none
I Eat Your Skin,1971,none,3.5,none
The Ghouls,2003,18+,3.8,none
Crucible of Terror,1971,none,4.2,none
Fly Me to Minami,2013,none,4.1,none
Thunder in the City,1937,none,6.2,none
Shark Killer,2015,none,3.9,none
Noah's Ark,1994,none,4.9,none
The Virgins,2014,none,5.4,none
Inside the Law,1942,none,5.3,none
Robot Revolution,2015,none,2.3,none
Everyman's War,2009,none,5.1,none
Caryl of the Mountains,1936,none,5.1,none
Invisible Mom,1996,7+,3.5,none
Theatre of Fear,2014,none,3.5,none
Sox: A Family's Best Friend,2013,7+,5.3,none
Termination Point,2007,13+,4.3,none
Chonda Pierce: Girl Talk,2013,none,5.8,none
Wrangler's Roost,1941,none,6.1,none
High-Ballin',1978,7+,5.4,none
Merlin and the War of the Dragons,2008,7+,3.6,none
Green Collar Comedy Show,2010,18+,4.7,none
Private Snuffy Smith,1942,none,4.4,none
Beware Of Ladies,1936,none,5.6,none
Today I Hang,1942,none,5.3,none
Ian Harris: ExtraOrdinary,2017,none,6.1,none
Window of Opportunity,2014,none,6.8,none
I Am My Sister's Keeper,2015,none,5,none
Bobby Slayton: Born to Be Bobby,2010,none,6.7,none
A Haunting in Salem,2011,18+,3.2,none
The Hall Monitor,1999,none,5.4,none
Spirit Lost,1997,18+,4.7,none
Dark Power,2013,none,3.4,none
Little Red Devil,2008,none,4.4,none
Epicenter,2000,18+,3.4,none
The Underdog,1943,none,6.2,none
Chad Daniels: As Is,2012,none,6.9,none
Serenity Farm,2014,none,3.6,none
Coons! Night of the Bandits of the Night,2005,none,4.1,none
The Bystander Theory,2013,none,5.2,none
Shaolin Tough Kid,1978,none,5.2,none
The Unauthorised Biography of Johnny Cash,2005,none,7,none
Going Down,2003,18+,4,none
"Jungledyret Hugo: Fræk, flabet og fri",2007,none,4.7,none
Day of the Nightmare,1965,none,4.6,none
Flight of Fury,2007,18+,3.5,none
Atom Age Vampire,1960,none,3.8,none
Puss in Boots,1993,none,5,none
Aftershock,1990,18+,4.1,none
The Young Land,1959,none,5.4,none
Honeymoon Limited,1935,none,5.5,none
Blank Generation,1980,none,4.9,none
Mysteria,2011,none,3.8,none
Robot Wars,2016,none,2.3,none
Jingles the Clown,2009,none,4.4,none
Mason of the Mounted,1932,none,5.3,none
Cat Girl,1957,none,5.3,none
Til Love Comes,2017,13+,5.4,none
Good Night,2013,none,5.7,none
$elfie Shootout,2016,16+,3.4,none
Scathing,2016,18+,3.4,none
It's Rhys Darby Night!,2011,none,6.4,none
Eunuch of the Western Palace,1979,none,6,none
The Choppers,1961,none,5.1,none
Invincible Obsessed Fighter,1983,none,5,none
Buddies In India,2017,none,3.6,none
The Adonis Factor,2010,none,5.1,none
Wasteland,2011,none,2.6,none
Backslasher,2012,18+,2.5,none
Englewood: The Growing Pains in Chicago,2011,none,6.7,none
Nam Angels,1989,18+,5.2,none
The Fury of the Wolf Man,1972,7+,3.6,none
The Invisible Men,2012,none,6.7,none
Hayride,2012,none,3.4,none
Aladdin and the Adventure of All Time,2000,all,3.1,none
The Cat In The Hat Knows A Lot About Space!,2017,all,4.1,none
The Road to Hollywood,1947,7+,4.8,none
The Unfolding,2016,18+,3.7,none
Operation Christmas List,2015,none,4.8,none
Project: Galaxy,2017,none,2.7,none
Replikator,1994,18+,2.8,none
Exhumed,2011,none,5,none
Heaven Before I Die,1997,7+,4.1,none
Tsunambee,2017,none,2,none
Six Reasons Why,2008,18+,2.7,none
The Eleventh Commandment,1933,none,6,none
"Ready, Willing & Able",1999,18+,4.5,none
Booster,2012,none,4.9,none
Women of Devil's Island,1962,none,4.2,none
Bunnyman Vengeance,2017,none,2.9,none
CyberTracker,1994,18+,3.8,none
William and Kate: A First Anniversary Celebration,2012,none,6.7,none
Where Jesus Walked,2005,none,7.2,none
You Can't Kill Stephen King,2012,none,3.7,none
Broken Mile,2017,18+,4.2,none
Diamond Trail,1933,none,5.6,none
The Hanged Man,1974,none,5.5,none
After the Wizard,2012,none,2.8,none
Seven Deadly Words,2013,all,5.6,none
Blood Reunion,2012,none,4.7,none
Church: The Movie,2010,7+,5.7,none
Imprisoned By Love,2013,none,6.1,none
The Beast of the Yellow Night,1971,18+,3.2,none
Encounter at Raven's Gate,1988,18+,5.4,none
Bunker of the Dead,2016,18+,3.8,none
Invasion Of The Animal People,1959,none,3.9,none
Down 'n Dirty,2001,18+,3.7,none
Dixie Jamboree,1944,none,4.6,none
The Kennedy Curse: An Unauthorized Story on the Kennedys,2013,none,5.2,none
The Griddle House,2018,none,5.4,none
Melanie Comarcho: Hello!,2012,18+,5.1,none
"Alien Paranormal: Bigfoot, UFO's and the Men in Black",2013,16+,3.5,none
Atomic Rulers,1965,none,3.9,none
Dennis Miller: The Raw Feed,2003,18+,5.6,none
The Movie Out Here,2012,none,4.3,none
Puss in Boots: A Furry Tail,2011,all,2.8,none
"God, Sex & Apple Pie",1998,18+,4.3,17%
The Hookers,1967,none,4.7,none
"Hollywood Heaven: Tragic Lives, Tragic Deaths",1990,none,5.9,none
Story of Eva,2015,none,3.2,none
Tommy and the Cool Mule,2009,7+,3.8,none
No Boundaries,2009,18+,5.4,none
Rita Rudner and 3 Potential Ex-Husbands,2012,18+,5.8,none
Ghosts on the Loose,1943,none,5.1,none
Uncommon Law,2015,none,5.1,none
La Paz,2013,none,6.1,none
The Gene Doctors,2017,none,5.8,none
Lancelot and Guinevere,1963,none,5.8,none
Gunsight Ridge,1957,none,6.4,none
Hard Ride to Hell,2010,none,3.8,none
Hit & Stay,2013,none,6.5,none
"30,000 Leagues Under The Sea",2007,7+,2.8,none
Where Birds Don't Fly,2017,none,4.3,none
Not Scared to Die,1973,18+,4.5,none
Hellweek,2010,none,2,none
Son of Ingagi,1940,none,3.9,none
The Back-up Bride,2011,none,3.8,none
The Devil Plays,1931,none,5.2,none
WE: A Collection of Individuals,2012,none,6.2,none
The 9/11 Commission Report,2006,18+,3,none
Space Monster DEMEKING,2009,none,4.8,none
Silent Retreat,2016,18+,3.6,none
Lost in the Stratosphere,1934,none,4.4,none
Confess,2005,18+,5,none
Prescient,2015,none,4.7,none
Cage Fight,2012,none,4.7,none
Wallaby Jim of the Islands,1937,none,5,none
The President's Mistress,1978,none,4.7,none
Porches and Private Eyes,2016,none,4.3,none
What Is New Thought?,2014,none,5.6,none
Warriors of the Sacred Temple,1977,none,5.8,none
Outrighteous,2008,none,4.4,none
Freerunner,2011,18+,3.6,none
Fangs of the Wild,1939,none,5.2,none
My Life Over the Top,2015,none,7,none
Interplanetary,2009,13+,4.6,none
4 Dead Girls: The Soul Taker,2012,18+,2.4,none
Disconnect. Reconnect,2013,none,3.8,none
No Tell Motel,2012,none,3.5,none
Running For Jim,2014,none,5.9,none
The Good Shepherd,2004,13+,5.1,none
Mulberry Stains,2012,none,6.1,none
Murder with Music,1941,none,3.9,none
Hypothermia,2012,none,3.9,none
Alien Predator,2018,none,1.7,none
Adventures of a Teenage Dragonslayer,2010,7+,3.2,none
Mutantis,2014,none,6.3,none
Eternal Evil,1985,18+,3.6,none
Dead 7,2016,16+,3.1,none
A Swingin' Summer,1965,none,4.9,none
Moonfire,1973,7+,4.8,none
Heart of Stone,2009,none,7.9,none
Unhallowed Ground,2015,none,3.4,none
Road to Hell,2017,none,4.6,none
Her Cry: La Llorona Investigation,2013,none,3.7,none
Ex$pendable,2010,none,5,none
Lazarus: Apocalypse,2014,none,5.1,none
Naanna Nenu Naa Boyfriends,2016,none,4.6,none
The Cradle,2007,18+,4.1,none
Vampiro,2009,none,3.1,none
Drums in the Deep South,1951,7+,5.8,none
